,curv,lat_middle,lon_middle,lanes,road_category,road_name,direction
17943,-0.0009165142257727775,47.676691448411425,10.396705312445382,3,Autobahn,A7,S
17944,-0.000916383112847184,47.676692725392115,10.396718581292939,3,Autobahn,A7,S
17945,-0.0009162531312866068,47.67669399426335,10.396731849480172,3,Autobahn,A7,S
17946,-0.0009161251301331438,47.67669525541911,10.396745119253232,3,Autobahn,A7,S
17947,-0.0009159999317410203,47.67669650796584,10.396758389934712,3,Autobahn,A7,S
17948,-0.0009158783398719848,47.67669775290046,10.396771659572476,3,Autobahn,A7,S
17949,-0.0009157611382526293,47.676698989245004,10.396784931682014,3,Autobahn,A7,S
17950,-0.000915649081304466,47.67670021933678,10.396798212343683,3,Autobahn,A7,S
17951,-0.0009155428863410936,47.676701441036386,10.396811494615136,3,Autobahn,A7,S
17952,-0.0009154432379060175,47.676702655047826,10.396824777600964,3,Autobahn,A7,S
17953,-0.0009153507945473695,47.67670386090336,10.39683806059589,3,Autobahn,A7,S
17954,-0.0009152661878994326,47.67670505898178,10.396851344463057,3,Autobahn,A7,S
17955,-0.0009151900177373801,47.67670624920291,10.396864629090821,3,Autobahn,A7,S
17956,-0.0009151228460292463,47.67670743182462,10.396877914381651,3,Autobahn,A7,S
17957,-0.000915065194919324,47.67670860650182,10.396891200328712,3,Autobahn,A7,S
17958,-0.0009150175523429931,47.676709773494956,10.396904487003868,3,Autobahn,A7,S
17959,-0.0009149803771588153,47.676710932124976,10.39691777359753,3,Autobahn,A7,S
17960,-0.0009149540934585828,47.67671208393553,10.39693106154305,3,Autobahn,A7,S
17961,-0.0009149390866557912,47.67671322720722,10.396944350443293,3,Autobahn,A7,S
17962,-0.0009149357091388613,47.67671436378417,10.396957648556251,3,Autobahn,A7,S
17963,-0.0009149442782343627,47.67671549278297,10.396970948290397,3,Autobahn,A7,S
17964,-0.0009149650692430683,47.67671661395151,10.396984248689977,3,Autobahn,A7,S
17965,-0.0009149983179355306,47.67671772755493,10.396997548877644,3,Autobahn,A7,S
17966,-0.0009150442302543328,47.676718832908584,10.39701085064052,3,Autobahn,A7,S
17967,-0.0009151029855755787,47.676719930774354,10.397024153018926,3,Autobahn,A7,S
17968,-0.0009151747258740984,47.67672102111445,10.397037455139472,3,Autobahn,A7,S
17969,-0.0009152595487662302,47.67672210363388,10.397050759570712,3,Autobahn,A7,S
17970,-0.0009153575151527961,47.67672317843319,10.39706406295627,3,Autobahn,A7,S
17971,-0.0009154686579971713,47.6767242451669,10.397077367884119,3,Autobahn,A7,S
